sign_id,label_ar,label_en_if_available,label_index,chapter_category,is_core28,is_extended_letter,source_label_row
0032,ا,alif,0,Letters,True,False,33
0033,ب,baa,1,Letters,True,False,34
0034,ت,ta,2,Letters,True,False,35
0035,ث,tha,3,Letters,True,False,36
0036,ج,Jiim,4,Letters,True,False,37
0037,ح,Haa,5,Letters,True,False,38
0038,خ,kha,6,Letters,True,False,39
0039,د,daal,7,Letters,True,False,40
0040,ذ,thal,8,Letters,True,False,41
0041,ر,raa,9,Letters,True,False,42
0042,ز,zay,10,Letters,True,False,43
0043,س,siin,11,Letters,True,False,44
0044,ش,shiin,12,Letters,True,False,45
0045,ص,Saad,13,Letters,True,False,46
0046,ض,Daad,14,Letters,True,False,47
0047,ط,Taa,15,Letters,True,False,48
0048,ظ,Zaa,16,Letters,True,False,49
0049,ع,Ayn,17,Letters,True,False,50
0050,غ,ghayn,18,Letters,True,False,51
0051,ف,faa,19,Letters,True,False,52
0052,ق,qaaf,20,Letters,True,False,53
0053,ك,kaaf,21,Letters,True,False,54
0054,ل,laam,22,Letters,True,False,55
0055,م,miim,23,Letters,True,False,56
0056,ن,noon,24,Letters,True,False,57
0057,ه,haa,25,Letters,True,False,58
0058,و,waaw,26,Letters,True,False,59
0059,ي,yaa,27,Letters,True,False,60
