sample_id,source_dataset,dataset_version,modality,sign_id,label_ar,label_en_if_available,label_index,signer_id,official_partition,repetition_id,source_relative_path,source_file_name,source_url,source_sha256,source_size_bytes,container,width,height,fps,frame_count,duration_seconds,skeleton_available,fold,role
karsl_core28_s01_sign0032_train_rep001,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep001,01/train/videos/0032/02_01_0032_(14_11_16_17_29_44)_c.mp4,02_01_0032_(14_11_16_17_29_44)_c.mp4,,9c99cf954ea1fd46ef0496eb6cd89930db0afb3009267be3bd47a6eddf39f69b,691068,mp4,1920,1080,30.000000,28,0.933333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep002,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep002,01/train/videos/0032/02_01_0032_(14_11_16_17_29_47)_c.mp4,02_01_0032_(14_11_16_17_29_47)_c.mp4,,0a8a3bf4e05ccd2120df8426b289c8a618ab100ac3c1a3751e8e2e7912372f98,705971,mp4,1920,1080,30.000000,29,0.966667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep003,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep003,01/train/videos/0032/02_01_0032_(14_11_16_17_29_50)_c.mp4,02_01_0032_(14_11_16_17_29_50)_c.mp4,,09982571b839c59833b47e5cf346229b9623313d5ba9e56ff625ae0736f91d4d,709841,mp4,1920,1080,30.000000,29,0.966667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep004,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep004,01/train/videos/0032/02_01_0032_(14_11_16_17_29_52)_c.mp4,02_01_0032_(14_11_16_17_29_52)_c.mp4,,19f9b41fa0df3756414281e08ab1d386bcdde34d40cf9d555bd0731d9200c180,669167,mp4,1920,1080,30.000000,26,0.866667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep005,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep005,01/train/videos/0032/02_01_0032_(14_11_16_17_29_54)_c.mp4,02_01_0032_(14_11_16_17_29_54)_c.mp4,,2b61c00936a1dbc2a75e8b3fc2298636283865be3afeb3e46f9d642dc74d5cc8,650252,mp4,1920,1080,30.000000,25,0.833333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep006,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep006,01/train/videos/0032/02_01_0032_(14_11_16_17_29_58)_c.mp4,02_01_0032_(14_11_16_17_29_58)_c.mp4,,0bd6c0e39b3dc591e6185f785090a53f4e2c90f4d5e114dc6aa90396d993132d,670548,mp4,1920,1080,30.000000,28,0.933333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep007,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep007,01/train/videos/0032/02_01_0032_(14_11_16_17_30_04)_c.mp4,02_01_0032_(14_11_16_17_30_04)_c.mp4,,b61bc635854d44cebf871555c9c4cfb84abf307d35b07a02b93be01bfb15ada4,685769,mp4,1920,1080,30.000000,29,0.966667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep008,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep008,01/train/videos/0032/02_01_0032_(14_11_16_17_30_07)_c.mp4,02_01_0032_(14_11_16_17_30_07)_c.mp4,,755eb1d020a9dfe9494cf7ee7d30848c0ebd5de0d58ee1863116708f5cb00d2c,796324,mp4,1920,1080,30.000000,35,1.166667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep009,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep009,01/train/videos/0032/02_01_0032_(14_11_16_17_30_10)_c.mp4,02_01_0032_(14_11_16_17_30_10)_c.mp4,,102bca56cba430548a269b73e9733bb5eb262c8db85aa830e547d5ec17433b11,740864,mp4,1920,1080,30.000000,33,1.100000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep010,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep010,01/train/videos/0032/02_01_0032_(14_11_16_17_30_12)_c.mp4,02_01_0032_(14_11_16_17_30_12)_c.mp4,,fe84d9f7eca452bb17a9a079a32bdd0b7c845b569252bb700176b64abe22ede1,724295,mp4,1920,1080,30.000000,32,1.066667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep011,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep011,01/train/videos/0032/02_01_0032_(14_11_16_17_30_15)_c.mp4,02_01_0032_(14_11_16_17_30_15)_c.mp4,,239efcbbb609ae5e51c77d1863013323506e05efeb9c409239f35ee35dc4192a,716856,mp4,1920,1080,30.000000,32,1.066667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep012,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep012,01/train/videos/0032/02_01_0032_(14_11_16_17_30_19)_c.mp4,02_01_0032_(14_11_16_17_30_19)_c.mp4,,8d190735cd890ab55179498dd0260e94e594d746984eb5fd011ce09b6885b1d5,644802,mp4,1920,1080,30.000000,25,0.833333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep013,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep013,01/train/videos/0032/02_01_0032_(14_11_16_17_30_21)_c.mp4,02_01_0032_(14_11_16_17_30_21)_c.mp4,,5343ffeb59d88716aee3d88285f586c9fab8996c9b2ad5cbfbe8f59601267621,705065,mp4,1920,1080,30.000000,30,1.000000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep014,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep014,01/train/videos/0032/02_01_0032_(14_11_16_17_30_24)_c.mp4,02_01_0032_(14_11_16_17_30_24)_c.mp4,,39c9969818f844f54226512b5c1a33b05358d2a1100df10f573827def819ac9e,737331,mp4,1920,1080,30.000000,35,1.166667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep015,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep015,01/train/videos/0032/02_01_0032_(14_11_16_17_30_27)_c.mp4,02_01_0032_(14_11_16_17_30_27)_c.mp4,,14f4fbee983f8f062a3c94f0e4d4e3dcf3cc3bd6db46d1b59bcc2c383d3c89dc,697144,mp4,1920,1080,30.000000,31,1.033333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep016,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep016,01/train/videos/0032/02_01_0032_(14_11_16_17_30_30)_c.mp4,02_01_0032_(14_11_16_17_30_30)_c.mp4,,6e81edc376de8d898f74bbf2061879b660bde1ae9faa96e00396318c8d782248,698536,mp4,1920,1080,30.000000,30,1.000000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep017,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep017,01/train/videos/0032/02_01_0032_(14_11_16_17_30_33)_c.mp4,02_01_0032_(14_11_16_17_30_33)_c.mp4,,9ec82aacb201e4615dc335a79598f165e1320145cf78a4414f8fbc01462910f8,692230,mp4,1920,1080,30.000000,30,1.000000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep018,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep018,01/train/videos/0032/02_01_0032_(14_11_16_17_30_36)_c.mp4,02_01_0032_(14_11_16_17_30_36)_c.mp4,,862f0511969db642a89a01178111492e01f42c2b184aba3dfc895934e702de74,657724,mp4,1920,1080,30.000000,28,0.933333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep019,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep019,01/train/videos/0032/02_01_0032_(14_11_16_17_30_44)_c.mp4,02_01_0032_(14_11_16_17_30_44)_c.mp4,,0e6711212578e7a5e4f04daa0cbaaa55b077c7d2b3ee042dbba14b2b424692ae,683584,mp4,1920,1080,30.000000,31,1.033333,unknown,S02,train
karsl_core28_s01_sign0032_train_rep020,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep020,01/train/videos/0032/02_01_0032_(14_11_16_17_30_49)_c.mp4,02_01_0032_(14_11_16_17_30_49)_c.mp4,,4f0e7a4518dc93885b49f689a025b3ef6c7f5919104fbe31891317da28e645ac,806952,mp4,1920,1080,30.000000,36,1.200000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep021,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep021,01/train/videos/0032/02_01_0032_(14_11_16_17_30_52)_c.mp4,02_01_0032_(14_11_16_17_30_52)_c.mp4,,96eebcdc0732d9d2fff11a8700cf076de61c6aef5413eb42e4e8c40f742e1be0,677647,mp4,1920,1080,30.000000,27,0.900000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep022,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep022,01/train/videos/0032/02_01_0032_(14_11_16_17_31_08)_c.mp4,02_01_0032_(14_11_16_17_31_08)_c.mp4,,585e0e21d177e13f17dfd568123bd7ebc88c114848853603a87de8b399d96904,687142,mp4,1920,1080,30.000000,27,0.900000,unknown,S02,train
karsl_core28_s01_sign0032_train_rep023,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep023,01/train/videos/0032/02_01_0032_(14_11_16_17_31_10)_c.mp4,02_01_0032_(14_11_16_17_31_10)_c.mp4,,d7621d8f8d43365cce842493fbfead99697c7975470c53547315da1a5af881cd,607429,mp4,1920,1080,30.000000,23,0.766667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep024,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep024,01/train/videos/0032/02_01_0032_(14_11_16_17_31_13)_c.mp4,02_01_0032_(14_11_16_17_31_13)_c.mp4,,0b4bd1c1176ffe1659658c0620ca819e37d3e579a7c0cb36617b412e588c47e1,600331,mp4,1920,1080,30.000000,23,0.766667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep025,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep025,01/train/videos/0032/02_01_0032_(14_11_16_17_31_17)_c.mp4,02_01_0032_(14_11_16_17_31_17)_c.mp4,,5c3589cc4a611c687609287076fd43146ea379510e42ad2e77cbf2b5c84a40eb,667596,mp4,1920,1080,30.000000,26,0.866667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep026,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep026,01/train/videos/0032/02_01_0032_(14_11_16_17_31_20)_c.mp4,02_01_0032_(14_11_16_17_31_20)_c.mp4,,daac2cf1faf4eaf8bbb0d58c48fb5dca136c687f7c64b5faf3f86ec3ad4b42c6,666048,mp4,1920,1080,30.000000,26,0.866667,unknown,S02,train
karsl_core28_s01_sign0032_train_rep027,KArSL,KArSL-502,RGB,0032,ا,alif,0,01,train,rep027,01/train/videos/0032/02_01_0032_(14_11_16_17_31_27)_c.mp4,02_01_0032_(14_11_16_17_31_27)_c.mp4,,f5f53ffd733125e88ba53e2d9c9eec616f0b049009da40e34f1fcada99e62a96,755490,mp4,1920,1080,30.000000,35,1.166667,unknown,S02,train
